"family_id","service_point_sn","meter_type","site","start_date","end_date","duration","min5flow_ave","severity","status","online_status","Comments"
1841,"3003289696","SUB","Yuhua",2018-05-27,NA,8,1,"Severe","Open","INACTIVE",""
2091,"3001051666","SUB","Yuhua",2018-03-06,NA,90,2,"Severe","Open","INACTIVE",""
2092,"3001053298","SUB","Yuhua",2018-05-28,NA,7,1,"Severe","Open","INACTIVE",""
2089,"3001048273","SUB","Yuhua",2018-04-11,NA,54,3,"Severe","Open","INACTIVE",""
2156,"3003486232","SUB","Yuhua",2018-05-26,NA,9,4,"Severe","Open","INACTIVE",""
2342,"3003303751","SUB","Yuhua",2018-03-31,NA,65,1,"Severe","Open","INACTIVE",""
2370,"3003306635","SUB","Yuhua",2018-03-06,NA,90,3,"Severe","Open","INACTIVE",""
2374,"3003304336","SUB","Yuhua",2018-05-17,NA,18,2,"Severe","Open","INACTIVE",""
1838,"3000673213","SUB","Yuhua",2018-03-06,NA,90,2,"Severe","Open","INACTIVE",""
2129,"3003483600","SUB","Yuhua",2018-03-06,NA,90,7,"Severe","Open","INACTIVE",""
2107,"3003484740","SUB","Yuhua",2018-04-23,NA,121,5,"Severe","Open","INACTIVE",""
2110,"3003487432","SUB","Yuhua",2018-03-06,NA,90,3,"Severe","Open","INACTIVE",""
2172,"3003486270","SUB","Yuhua",2018-03-06,NA,90,9,"Severe","Open","INACTIVE",""
2169,"3003483683","SUB","Yuhua",2018-03-06,NA,90,2,"Severe","Open","INACTIVE",""
2307,"3000703248","SUB","Yuhua",2018-05-15,NA,20,4,"Severe","Open","INACTIVE",""
2309,"3000705658","SUB","Yuhua",2018-04-15,NA,50,2,"Severe","Open","INACTIVE",""
2315,"3000703260","SUB","Yuhua",2018-05-27,NA,8,1,"Severe","Open","INACTIVE",""
2316,"3000704497","SUB","Yuhua",2018-03-06,NA,90,2,"Severe","Open","INACTIVE",""
2319,"3000699017","SUB","Yuhua",2018-06-02,NA,2,19,"Severe","Open","INACTIVE",""
2323,"3000703292","SUB","Yuhua",2018-05-17,NA,18,4,"Severe","Open","INACTIVE",""
2328,"3003304978","SUB","Yuhua",2018-05-07,NA,28,11,"Critical","Open","INACTIVE",""
