"family_id","service_point_sn","meter_type","site","start_date","end_date","duration","min5flow_ave","severity","status","online_status","Comments"
1931,"3000852270","SUB","Yuhua",2018-10-24,NA,5,8,"Moderate","Open","INACTIVE",""
2269,"3003506974","SUB","Yuhua",2018-10-21,NA,8,1,"Severe","Open","ACTIVE",""
2388,"3000724494","SUB","Yuhua",2018-10-10,NA,19,1,"Severe","Open","INACTIVE",""
1993,"3003366453","SUB","Yuhua",2018-09-26,NA,33,3,"Severe","Open","INACTIVE",""
2454,"3004522045","SUB","Punggol",2018-10-03,NA,26,1.67,"Severe","Open","INACTIVE",""
2386,"3000726669","SUB","Yuhua",2018-10-24,NA,5,1,"Moderate","Open","INACTIVE",""
2262,"3003508756","SUB","Yuhua",2018-10-07,NA,22,16,"Critical","Open","INACTIVE",""
2198,"3001098882","SUB","Yuhua",2018-08-29,NA,6,11,"Critical","Open","ACTIVE",""
1994,"3003367219","SUB","Yuhua",2018-09-30,NA,29,1,"Severe","Open","INACTIVE",""
2066,"3000978674","SUB","Yuhua",2018-10-11,NA,4,15,"Severe","Open","INACTIVE",""
2067,"3000979395","SUB","Yuhua",2018-08-09,NA,28,4,"Severe","Open","INACTIVE",""
1978,"3000845575","SUB","Yuhua",2018-10-04,NA,25,1,"Severe","Open","ACTIVE",""
2263,"3003502654","SUB","Yuhua",2018-10-23,NA,6,10,"Critical","Open","ACTIVE",""
2180,"3001106983","SUB","Yuhua",2018-10-25,NA,4,1,"Moderate","Open","INACTIVE",""
1936,"3000835334","SUB","Yuhua",2018-10-25,NA,4,1,"Moderate","Open","INACTIVE",""
1936,"3000835334","SUB","Yuhua",2018-10-21,NA,3,1,"Moderate","Open","INACTIVE",""
1929,"3003371973","SUB","Yuhua",2018-10-10,NA,19,4,"Severe","Open","INACTIVE",""
2278,"3003508795","SUB","Yuhua",2018-09-15,NA,44,2,"Severe","Open","ACTIVE",""
130,"3004521354","SUB","Punggol",2018-06-04,NA,147,2,"Severe","Open","ACTIVE",""
46,"3004479721","SUB","Punggol",2018-08-31,NA,59,16,"Critical","Open","INACTIVE",""
111,"3004521048","SUB","Punggol",2017-02-12,2017-03-01,18,3,"Severe","Close","INACTIVE",""
111,"3004521048","SUB","Punggol",2017-10-22,2017-10-25,4,1.33,"Moderate","Close","ACTIVE",""
111,"3004521048","SUB","Punggol",2017-11-30,2017-12-04,5,4.33,"Severe","Close","ACTIVE",""
231,"3100249914","SUB","Punggol",2017-04-12,2017-04-16,5,2,"Severe","Close","INACTIVE",""
231,"3100249914","SUB","Punggol",2017-04-24,2017-05-04,11,2,"Severe","Close","INACTIVE",""
231,"3100249914","SUB","Punggol",2017-05-15,2017-05-20,6,2,"Severe","Close","INACTIVE",""
231,"3100249914","SUB","Punggol",2017-05-23,2017-07-02,41,1.33,"Severe","Close","INACTIVE",""
117,"3004521061","SUB","Punggol",2016-04-24,2016-05-13,20,1.33,"Severe","Close","INACTIVE",""
117,"3004521061","SUB","Punggol",2016-08-22,2016-09-11,21,15.33,"Critical","Close","INACTIVE",""
117,"3004521061","SUB","Punggol",2017-04-23,2017-05-01,9,4,"Severe","Close","INACTIVE",""
1931,"3000852270","SUB","Yuhua",2018-08-29,2018-09-07,10,1,"Severe","Close","INACTIVE",""
1931,"3000852270","SUB","Yuhua",2018-09-12,2018-10-21,40,2,"Severe","Close","INACTIVE",""
1931,"3000852270","SUB","Yuhua",2018-06-21,2018-06-24,4,1,"Moderate","Close","INACTIVE",""
2269,"3003506974","SUB","Yuhua",2018-09-25,2018-10-17,23,1,"Severe","Close","ACTIVE",""
2269,"3003506974","SUB","Yuhua",2018-08-15,2018-09-18,35,1,"Severe","Close","ACTIVE",""
51,"3004479342","SUB","Punggol",2016-10-16,2016-10-24,9,1.33,"Severe","Close","INACTIVE",""
51,"3004479342","SUB","Punggol",2016-11-07,2016-11-10,4,1.33,"Moderate","Close","INACTIVE",""
51,"3004479342","SUB","Punggol",2016-11-14,2016-11-19,6,1.33,"Severe","Close","INACTIVE",""
51,"3004479342","SUB","Punggol",2016-12-01,2017-02-25,87,2,"Severe","Close","INACTIVE",""
51,"3004479342","SUB","Punggol",2017-05-07,2017-05-10,4,1,"Moderate","Close","INACTIVE",""
51,"3004479342","SUB","Punggol",2017-05-13,2017-05-16,4,1,"Moderate","Close","INACTIVE",""
51,"3004479342","SUB","Punggol",2017-06-14,2017-06-18,5,1,"Severe","Close","INACTIVE",""
51,"3004479342","SUB","Punggol",2017-06-21,2017-06-29,9,1,"Severe","Close","INACTIVE",""
51,"3004479342","SUB","Punggol",2017-09-04,2017-09-11,8,1,"Severe","Close","ACTIVE",""
51,"3004479342","SUB","Punggol",2017-09-17,2017-10-17,31,1,"Severe","Close","ACTIVE",""
51,"3004479342","SUB","Punggol",2017-10-25,2017-11-26,33,1.33,"Severe","Close","ACTIVE",""
68,"3004479091","SUB","Punggol",2016-03-09,2016-04-20,43,14.67,"Critical","Close","INACTIVE",""
44,"3004479020","SUB","Punggol",2017-02-03,2017-02-06,4,1,"Moderate","Close","INACTIVE",""
44,"3004479020","SUB","Punggol",2017-03-14,2017-05-20,68,2.67,"Severe","Close","INACTIVE",""
413,"3100159955","SUB","Punggol",2016-04-26,2016-05-10,15,2,"Severe","Close","INACTIVE",""
413,"3100159955","SUB","Punggol",2017-12-04,2017-12-07,4,5,"Moderate","Close","INACTIVE",""
413,"3100159955","SUB","Punggol",2017-12-21,2017-12-24,4,3.33,"Moderate","Close","INACTIVE",""
1948,"3000855669","SUB","Yuhua",2018-08-14,2018-08-17,4,3,"Moderate","Close","ACTIVE",""
