"family_id","service_point_sn","meter_sn","block","overconsumption_date","online_status"
2473,"3000704470","VR501959","YH_B6",2018-10-28,"ACTIVE"
2475,"3003367282","VR500522","YH_B2",2018-10-28,"INACTIVE"
488,"3100159655","WS500487A","PG_B5",2018-10-28,"ACTIVE"
2093,"3001055036","VR500607","YH_B4",2018-10-28,"INACTIVE"
2013,"3003371394","VR503181","YH_B2",2018-10-28,"INACTIVE"
2223,"3003506324","VR500859","YH_B5",2018-10-28,"ACTIVE"
1912,"3003289618","VR502822","YH_B1",2018-10-28,"INACTIVE"
244,"3100250218","WS500243A","PG_B3",2018-10-28,"ACTIVE"
2440,"3100159599","WS500510A","PG_B5",2018-10-28,"INACTIVE"
501,"3100159999","WS500500A","PG_B5",2018-10-28,"INACTIVE"
2060,"3003371358","VR500987","YH_B2",2018-10-28,"INACTIVE"
1960,"3000848514","VR503128","YH_B2",2018-10-28,"INACTIVE"
2452,"3004522310","WS500181A","PG_B2",2018-10-28,"INACTIVE"
2453,"3100159555","WS500422A","PG_B5",2018-10-28,"ACTIVE"
70,"3004479786","WS500070A","PG_B1",2018-10-28,"INACTIVE"
286,"3100250358","WS500285A","PG_B3",2018-10-28,"ACTIVE"
203,"3100250138","WS500202A","PG_B3",2018-10-28,"INACTIVE"
2081,"3000977099","VR500486","YH_B3",2018-10-28,"INACTIVE"
2196,"3001095138","VR500832","YH_B5",2018-10-28,"ACTIVE"
2245,"3003502635","VR500881","YH_B5",2018-10-28,"INACTIVE"
2012,"3003370799","VR503180","YH_B2",2018-10-28,"INACTIVE"
2212,"3003506399","VR500848","YH_B5",2018-10-28,"INACTIVE"
547,"3005448715","WS500378A","PG_B4",2018-10-28,"ACTIVE"
23,"3004479897","WS500023A","PG_B1",2018-10-28,"INACTIVE"
2448,"3100159651","WS500479A","PG_B5",2018-10-28,"INACTIVE"
2001,"3003371375","VR503169","YH_B2",2018-10-28,"INACTIVE"
2068,"3000980448","VR500473","YH_B3",2018-10-28,"INACTIVE"
1980,"3000848570","VR503148","YH_B2",2018-10-28,"ACTIVE"
127,"3004522190","WS500127A","PG_B2",2018-10-28,"INACTIVE"
235,"3100250154","WS500234A","PG_B3",2018-10-28,"INACTIVE"
2090,"3001049844","VR500604","YH_B4",2018-10-28,"INACTIVE"
1815,"3005448679","WS500324A","PG_B4",2018-10-28,"INACTIVE"
1767,"3004479193","WS500009A","PG_B1",2018-10-28,"ACTIVE"
449,"3100159703","WS500448A","PG_B5",2018-10-28,"ACTIVE"
58,"3004479744","WS500058A","PG_B1",2018-10-28,"INACTIVE"
1914,"3003293802","VR502824","YH_B1",2018-10-28,"INACTIVE"
2371,"3003307209","VR502022","YH_B6",2018-10-28,"INACTIVE"
148,"3004521398","WS500148A","PG_B2",2018-10-28,"ACTIVE"
2158,"3003488014","VR500672","YH_B4",2018-10-28,"INACTIVE"
475,"3100159851","WS500474A","PG_B5",2018-10-28,"INACTIVE"
421,"3100159959","WS500420A","PG_B5",2018-10-28,"INACTIVE"
2400,"3100159623","WS500423A","PG_B5",2018-10-28,"INACTIVE"
1790,"3100250070","WS500185A","PG_B3",2018-10-28,"INACTIVE"
488,"3100159655","WS500487A","PG_B5",2018-10-21,"ACTIVE"
2013,"3003371394","VR503181","YH_B2",2018-10-21,"INACTIVE"
2223,"3003506324","VR500859","YH_B5",2018-10-21,"ACTIVE"
1912,"3003289618","VR502822","YH_B1",2018-10-21,"INACTIVE"
2376,"3003305368","VR502027","YH_B6",2018-10-21,"INACTIVE"
244,"3100250218","WS500243A","PG_B3",2018-10-21,"ACTIVE"
501,"3100159999","WS500500A","PG_B5",2018-10-21,"INACTIVE"
2452,"3004522310","WS500181A","PG_B2",2018-10-21,"INACTIVE"
125,"3004521658","WS500125A","PG_B2",2018-10-21,"INACTIVE"
132,"3004521979","WS500132A","PG_B2",2018-10-21,"INACTIVE"
2453,"3100159555","WS500422A","PG_B5",2018-10-21,"ACTIVE"
286,"3100250358","WS500285A","PG_B3",2018-10-21,"ACTIVE"
1765,"3004521123","WS500141A","PG_B2",2018-10-21,"ACTIVE"
2220,"3003503835","VR500856","YH_B5",2018-10-21,"ACTIVE"
2245,"3003502635","VR500881","YH_B5",2018-10-21,"INACTIVE"
198,"3100250314","WS500197A","PG_B3",2018-10-21,"ACTIVE"
2012,"3003370799","VR503180","YH_B2",2018-10-21,"INACTIVE"
429,"3100159963","WS500428A","PG_B5",2018-10-21,"ACTIVE"
2054,"3003367291","VR500969","YH_B2",2018-10-21,"INACTIVE"
547,"3005448715","WS500378A","PG_B4",2018-10-21,"ACTIVE"
2448,"3100159651","WS500479A","PG_B5",2018-10-21,"INACTIVE"
2001,"3003371375","VR503169","YH_B2",2018-10-21,"INACTIVE"
2068,"3000980448","VR500473","YH_B3",2018-10-21,"INACTIVE"
235,"3100250154","WS500234A","PG_B3",2018-10-21,"INACTIVE"
275,"3100250174","WS500274A","PG_B3",2018-10-21,"INACTIVE"
371,"3005448583","WS500370A","PG_B4",2018-10-21,"INACTIVE"
371,"3005448583","WS500536A","PG_B4",2018-10-21,"INACTIVE"
2090,"3001049844","VR500604","YH_B4",2018-10-21,"INACTIVE"
1855,"3003286087","VR502765","YH_B1",2018-10-21,"INACTIVE"
73,"3004478833","WS500073A","PG_B1",2018-10-21,"ACTIVE"
195,"3100250134","WS500194A","PG_B3",2018-10-21,"ACTIVE"
2034,"3003370245","VR500451","YH_B2",2018-10-21,"INACTIVE"
2036,"3003371322","VR500516","YH_B2",2018-10-21,"INACTIVE"
2233,"3003506940","VR500869","YH_B5",2018-10-21,"INACTIVE"
148,"3004521398","WS500148A","PG_B2",2018-10-21,"ACTIVE"
2397,"3000726638","VR502157","YH_B7",2018-10-21,"INACTIVE"
2402,"3100159559","WS500430A","PG_B5",2018-10-21,"INACTIVE"
1790,"3100250070","WS500185A","PG_B3",2018-10-21,"INACTIVE"
488,"3100159655","WS500487A","PG_B5",2018-10-14,"ACTIVE"
2223,"3003506324","VR500859","YH_B5",2018-10-14,"ACTIVE"
1912,"3003289618","VR502822","YH_B1",2018-10-14,"INACTIVE"
2440,"3100159599","WS500510A","PG_B5",2018-10-14,"INACTIVE"
501,"3100159999","WS500500A","PG_B5",2018-10-14,"INACTIVE"
1960,"3000848514","VR503128","YH_B2",2018-10-14,"INACTIVE"
2452,"3004522310","WS500181A","PG_B2",2018-10-14,"INACTIVE"
2453,"3100159555","WS500422A","PG_B5",2018-10-14,"ACTIVE"
203,"3100250138","WS500202A","PG_B3",2018-10-14,"INACTIVE"
301,"3100250306","WS500300A","PG_B3",2018-10-14,"INACTIVE"
1765,"3004521123","WS500141A","PG_B2",2018-10-14,"ACTIVE"
1810,"3004520778","WS500122A","PG_B2",2018-10-14,"ACTIVE"
2245,"3003502635","VR500881","YH_B5",2018-10-14,"INACTIVE"
1836,"3000665432","VR502746","YH_B1",2018-10-14,"INACTIVE"
547,"3005448715","WS500378A","PG_B4",2018-10-14,"ACTIVE"
2448,"3100159651","WS500479A","PG_B5",2018-10-14,"INACTIVE"
2068,"3000980448","VR500473","YH_B3",2018-10-14,"INACTIVE"
235,"3100250154","WS500234A","PG_B3",2018-10-14,"INACTIVE"
76,"3004479799","WS500076A","PG_B1",2018-10-14,"ACTIVE"
2187,"3001100213","VR500823","YH_B5",2018-10-14,"INACTIVE"
1886,"3003293216","VR502796","YH_B1",2018-10-14,"INACTIVE"
2132,"3003485797","VR500646","YH_B4",2018-10-14,"INACTIVE"
2125,"3003486922","VR500639","YH_B4",2018-10-14,"INACTIVE"
