"","id","code","family_id","results","special_challenge_options","challenge_start_date","challenge_end_date","created_date","updated_date","status"
"1",276,"S02",31,"SUCCESS","96",2017-09-19,NA,2017-09-19 15:22:40,2017-09-19 15:22:40,NA
"2",277,"S02",1807,"SUCCESS","103",2017-09-19,NA,2017-09-19 15:22:40,2017-09-19 15:22:40,NA
"3",278,"S02",49,"SUCCESS","105",2017-09-19,NA,2017-09-19 15:22:40,2017-09-19 15:22:40,NA
"4",279,"S02",33,"SUCCESS","127",2017-09-19,NA,2017-09-19 15:22:40,2017-09-19 15:22:40,NA
"5",280,"S02",51,"SUCCESS","134",2017-09-19,NA,2017-09-19 15:22:40,2017-09-19 15:22:40,NA
"6",281,"S02",51,"SUCCESS","135",2017-09-19,NA,2017-09-19 15:22:40,2017-09-19 15:22:40,NA
"7",282,"S02",34,"SUCCESS","139",2017-09-19,NA,2017-09-19 15:22:40,2017-09-19 15:22:40,NA
"8",283,"S02",31,"SUCCESS","97",2017-09-19,NA,2017-09-19 15:22:40,2017-09-19 15:22:40,NA
"9",284,"S02",82,"SUCCESS","144",2017-09-19,NA,2017-09-19 15:22:40,2017-09-19 15:22:40,NA
"10",285,"S02",11,"SUCCESS","146",2017-09-19,NA,2017-09-19 15:22:40,2017-09-19 15:22:40,NA
"11",286,"S02",35,"SUCCESS","153",2017-09-19,NA,2017-09-19 15:22:40,2017-09-19 15:22:40,NA
"12",287,"S02",1777,"SUCCESS","160",2017-09-19,NA,2017-09-19 15:22:40,2017-09-19 15:22:40,NA
"13",288,"S02",1777,"SUCCESS","161",2017-09-19,NA,2017-09-19 15:22:40,2017-09-19 15:22:40,NA
"14",289,"S02",539,"SUCCESS","172",2017-09-19,NA,2017-09-19 15:22:40,2017-09-19 15:22:40,NA
"15",290,"S02",322,"SUCCESS","235",2017-09-19,NA,2017-09-19 15:22:40,2017-09-19 15:22:40,NA
"16",291,"S02",422,"SUCCESS","249",2017-09-19,NA,2017-09-19 15:22:40,2017-09-19 15:22:40,NA
"17",292,"S02",422,"SUCCESS","250",2017-09-19,NA,2017-09-19 15:22:40,2017-09-19 15:22:40,NA
"18",293,"S02",475,"SUCCESS","265",2017-09-19,NA,2017-09-19 15:22:40,2017-09-19 15:22:40,NA
"19",294,"S02",11,"SUCCESS","147",2017-09-19,NA,2017-09-19 15:22:40,2017-09-19 15:22:40,NA
"20",295,"S02",1777,"SUCCESS","283",2017-09-19,NA,2017-09-19 15:22:40,2017-09-19 15:22:40,NA
"21",296,"S02",31,"SUCCESS","284",2017-09-19,NA,2017-09-19 15:22:40,2017-09-19 15:22:40,NA
"22",297,"S02",96,"SUCCESS","282",2017-09-19,NA,2017-09-19 15:22:40,2017-09-19 15:22:40,NA
"23",300,"S02",282,"SUCCESS","280",2017-09-19,NA,2017-09-19 15:22:40,2017-09-19 15:22:40,NA
"24",301,"S02",51,"SUCCESS","285",2017-09-19,NA,2017-09-19 15:22:40,2017-09-19 15:22:40,NA
"25",299,"S02",430,"SUCCESS","287",2017-09-19,NA,2017-09-19 15:22:40,2017-09-30 15:00:12,NA
"26",44,"S03",1773,"SUCCESS",NA,2017-05-01,2017-08-01,2017-05-01 15:00:02,2017-09-05 15:00:03,NA
"27",66,"S03",304,"SUCCESS",NA,2017-05-08,2017-08-08,2017-05-08 15:00:03,2017-09-05 15:00:03,NA
"28",12,"S03",158,"AVAILABLE",NA,2017-04-10,2017-07-10,2017-04-11 15:37:37,2017-04-11 15:37:37,NA
"29",47,"S03",456,"FAILED",NA,2017-05-01,2017-08-01,2017-05-08 15:00:03,2017-05-01 15:00:02,NA
"30",48,"S03",240,"FAILED",NA,2017-05-01,2017-08-01,2017-05-08 15:00:03,2017-05-01 15:00:02,NA
"31",33,"S04",37,"AVAILABLE",NA,2017-04-21,2017-07-21,2017-04-21 15:00:03,2017-04-21 15:00:03,NA
"32",19,"S03",31,"FAILED",NA,2017-04-10,2017-07-10,2017-04-23 15:00:08,2017-04-11 15:37:37,NA
"33",32,"S04",231,"FAILED",NA,2017-04-20,2017-07-20,2017-04-28 15:00:03,2017-04-20 15:00:04,NA
"34",7,"S03",537,"FAILED",NA,2017-04-10,2017-07-10,2017-05-01 15:00:02,2017-04-11 15:37:37,NA
"35",11,"S03",1774,"FAILED",NA,2017-04-10,2017-07-10,2017-05-01 15:00:02,2017-04-11 15:37:37,NA
"36",14,"S03",1773,"FAILED",NA,2017-04-10,2017-07-10,2017-05-01 15:00:02,2017-04-11 15:37:37,NA
"37",21,"S03",548,"FAILED",NA,2017-04-10,2017-07-10,2017-05-01 15:00:02,2017-04-11 15:37:37,NA
"38",49,"S03",252,"AVAILABLE",NA,2017-05-01,2017-08-01,2017-05-01 15:00:02,2017-05-01 15:00:02,NA
"39",52,"S04",117,"AVAILABLE",NA,2017-05-04,2017-08-04,2017-05-04 15:00:16,2017-05-04 15:00:16,NA
"40",16,"S03",351,"FAILED",NA,2017-04-10,2017-07-10,2017-05-08 15:00:03,2017-04-11 15:37:37,NA
"41",18,"S03",370,"FAILED",NA,2017-04-10,2017-07-10,2017-05-08 15:00:03,2017-04-11 15:37:37,NA
"42",25,"S03",505,"FAILED",NA,2017-04-10,2017-07-10,2017-05-08 15:00:03,2017-04-11 15:37:37,NA
"43",41,"S03",537,"FAILED",NA,2017-05-01,2017-08-01,2017-05-08 15:00:03,2017-05-01 15:00:02,NA
"44",42,"S03",1767,"FAILED",NA,2017-05-01,2017-08-01,2017-05-08 15:00:03,2017-05-01 15:00:02,NA
"45",43,"S03",1774,"FAILED",NA,2017-05-01,2017-08-01,2017-05-08 15:00:03,2017-05-01 15:00:02,NA
"46",45,"S03",304,"FAILED",NA,2017-05-01,2017-08-01,2017-05-08 15:00:03,2017-05-01 15:00:02,NA
"47",46,"S03",548,"FAILED",NA,2017-05-01,2017-08-01,2017-05-08 15:00:03,2017-05-01 15:00:02,NA
"48",51,"S03",198,"FAILED",NA,2017-05-01,2017-08-01,2017-05-08 15:00:03,2017-05-01 15:00:02,NA
"49",61,"S03",6,"AVAILABLE",NA,2017-05-08,2017-08-08,2017-05-08 15:00:03,2017-05-08 15:00:03,NA
"50",273,"S03",267,"SUCCESS",NA,NA,NA,2017-05-09 11:31:27,2017-05-09 11:31:27,NA
"51",26,"S03",426,"FAILED",NA,2017-04-10,2017-07-10,2017-05-15 15:00:03,2017-04-11 15:37:37,NA
"52",50,"S03",189,"FAILED",NA,2017-05-01,2017-08-01,2017-05-15 15:00:03,2017-05-01 15:00:02,NA
"53",56,"S03",1770,"FAILED",NA,2017-05-08,2017-08-08,2017-05-15 15:00:03,2017-05-08 15:00:03,NA
"54",58,"S03",1767,"FAILED",NA,2017-05-08,2017-08-08,2017-05-15 15:00:03,2017-05-08 15:00:03,NA
"55",59,"S03",88,"FAILED",NA,2017-05-08,2017-08-08,2017-05-15 15:00:03,2017-05-08 15:00:03,NA
"56",60,"S03",65,"FAILED",NA,2017-05-08,2017-08-08,2017-05-15 15:00:03,2017-05-08 15:00:03,NA
"57",62,"S03",1774,"FAILED",NA,2017-05-08,2017-08-08,2017-05-15 15:00:03,2017-05-08 15:00:03,NA
"58",64,"S03",168,"FAILED",NA,2017-05-08,2017-08-08,2017-05-15 15:00:03,2017-05-08 15:00:03,NA
"59",65,"S03",351,"FAILED",NA,2017-05-08,2017-08-08,2017-05-15 15:00:03,2017-05-08 15:00:03,NA
"60",67,"S03",370,"FAILED",NA,2017-05-08,2017-08-08,2017-05-15 15:00:03,2017-05-08 15:00:03,NA
"61",68,"S03",548,"FAILED",NA,2017-05-08,2017-08-08,2017-05-15 15:00:03,2017-05-08 15:00:03,NA
"62",69,"S03",400,"FAILED",NA,2017-05-08,2017-08-08,2017-05-15 15:00:03,2017-05-08 15:00:03,NA
"63",72,"S03",240,"FAILED",NA,2017-05-08,2017-08-08,2017-05-15 15:00:03,2017-05-08 15:00:03,NA
"64",73,"S03",186,"FAILED",NA,2017-05-08,2017-08-08,2017-05-15 15:00:03,2017-05-08 15:00:03,NA
"65",75,"S03",198,"FAILED",NA,2017-05-08,2017-08-08,2017-05-15 15:00:03,2017-05-08 15:00:03,NA
"66",55,"S04",231,"FAILED",NA,2017-05-07,2017-08-07,2017-05-18 15:00:03,2017-05-07 15:00:03,NA
"67",89,"S03",168,"AVAILABLE",NA,2017-05-15,2017-08-15,2017-05-15 15:00:03,2017-05-15 15:00:03,NA
"68",29,"S04",543,"FAILED",NA,2017-04-15,2017-07-15,2017-06-02 15:00:03,2017-04-15 15:00:27,NA
"69",80,"S03",1770,"FAILED",NA,2017-05-15,2017-08-15,2017-06-12 15:00:03,2017-05-15 15:00:03,NA
"70",90,"S03",351,"FAILED",NA,2017-05-15,2017-08-15,2017-06-12 15:00:03,2017-05-15 15:00:03,NA
"71",37,"S04",322,"FAILED",NA,2017-04-28,2017-07-28,2017-06-14 15:00:04,2017-04-28 15:00:03,NA
